comparison,dataset_label,cell_type,condition,donor_column,n_donors,n_cells,n_cells_input_to_metacells,n_metacells,n_candidate_lr_pairs,n_lr_pairs_diff_potential,n_retained_tfs,n_predicted_interactions,n_unique_predicted_lr,k,min_meta_cells,condition_column_sc,expected_metacells_per_arm,metacell_rule_ok
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),regulatory_T_cell,control,donor_id,7,914,914,457,387,173,121,60,60,1,100,condition_original,457,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),mast_cell,case,donor_id,10,309,309,104,392,25,72,13,13,1,100,condition_original,104,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),mast_cell,control,donor_id,7,208,208,104,392,25,72,13,13,1,100,condition_original,104,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),mural_cell,case,donor_id,10,1010,1010,391,893,461,101,165,165,1,100,condition_original,391,TRUE
cz_hnscc_hpv,Head and neck squamous cell carcinoma (Jenkins et al. [37]),mural_cell,control,donor_id,7,783,783,391,893,461,101,165,165,1,100,condition_original,391,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),pancreatic_A_cell,case,donor_id,5,1727,1727,600,393,186,109,83,83,1,100,condition_original,600,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),pancreatic_A_cell,control,donor_id,19,9862,2400,600,393,186,109,83,83,1,100,condition_original,600,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),type_B_pancreatic_cell,case,donor_id,4,1071,1071,535,450,229,74,114,114,1,100,condition_original,535,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),type_B_pancreatic_cell,control,donor_id,19,10227,2400,535,450,229,74,114,114,1,100,condition_original,535,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),endothelial_cell,case,donor_id,5,1126,1126,563,552,157,76,63,63,1,100,condition_original,563,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),endothelial_cell,control,donor_id,19,1532,1532,563,552,157,76,63,63,1,100,condition_original,563,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),pancreatic_stellate_cell,case,donor_id,5,1003,1003,501,648,253,69,99,99,1,100,condition_original,501,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),pancreatic_stellate_cell,control,donor_id,19,1160,1160,501,648,253,69,99,99,1,100,condition_original,501,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),pancreatic_ductal_cell,case,donor_id,5,6132,2400,600,617,360,61,142,142,1,100,condition_original,600,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),pancreatic_ductal_cell,control,donor_id,19,5792,2400,600,617,360,61,142,142,1,100,condition_original,600,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),unknown,case,donor_id,5,1385,1385,600,583,220,105,90,90,1,100,condition_original,600,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),unknown,control,donor_id,19,3039,2400,600,583,220,105,90,90,1,100,condition_original,600,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),pancreatic_acinar_cell,case,donor_id,5,9467,2400,600,467,185,99,70,70,1,100,condition_original,600,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),pancreatic_acinar_cell,control,donor_id,19,13749,2400,600,467,185,99,70,70,1,100,condition_original,600,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),PP_cell,case,donor_id,5,276,276,138,425,66,64,36,36,1,100,condition_original,138,TRUE
cz_hpap_t1d_islets,Type 1 diabetes vs non-diabetic islets (Fasolino et al. [36]),PP_cell,control,donor_id,19,485,485,138,425,66,64,36,36,1,100,condition_original,138,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_collecting_duct_principal_cell,case,donor_id,37,22710,3600,600,727,336,96,140,140,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_collecting_duct_principal_cell,control,donor_id,25,4682,3600,600,727,336,96,140,140,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_interstitial_cell,case,donor_id,37,2607,2607,600,828,471,29,174,174,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_interstitial_cell,control,donor_id,26,2609,2609,600,828,471,29,174,174,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),endothelial_cell,case,donor_id,37,9598,3600,600,654,298,96,117,117,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),endothelial_cell,control,donor_id,26,4801,3600,600,654,298,96,117,117,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),epithelial_cell_of_proximal_tubule,case,donor_id,37,28961,3600,600,689,429,81,134,134,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),epithelial_cell_of_proximal_tubule,control,donor_id,24,9965,3600,600,689,429,81,134,134,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_loop_of_Henle_thick_ascending_limb_epithelial_cell,case,donor_id,37,23818,3600,600,670,298,88,110,110,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_loop_of_Henle_thick_ascending_limb_epithelial_cell,control,donor_id,24,6741,3600,600,670,298,88,110,110,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_loop_of_Henle_thin_ascending_limb_epithelial_cell,case,donor_id,34,3321,3321,109,826,163,86,79,79,2,100,condition_original,109,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_loop_of_Henle_thin_ascending_limb_epithelial_cell,control,donor_id,20,328,328,109,826,163,86,79,79,2,100,condition_original,109,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_collecting_duct_intercalated_cell,case,donor_id,37,9739,3600,600,704,246,61,104,104,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_collecting_duct_intercalated_cell,control,donor_id,23,2988,2988,600,704,246,61,104,104,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),cytotoxic_T_cell,case,donor_id,34,1083,1083,152,327,71,95,30,30,2,100,condition_original,152,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),cytotoxic_T_cell,control,donor_id,22,457,457,152,327,71,95,30,30,2,100,condition_original,152,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),T_cell,case,donor_id,36,6632,3600,600,336,193,48,75,75,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),T_cell,control,donor_id,26,2275,2275,600,336,193,48,75,75,2,100,condition_original,600,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_interstitial_alternatively_activated_macrophage,case,donor_id,35,952,952,155,721,128,57,43,43,2,100,condition_original,155,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),kidney_interstitial_alternatively_activated_macrophage,control,donor_id,26,465,465,155,721,128,57,43,43,2,100,condition_original,155,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),mononuclear_phagocyte,case,donor_id,37,743,743,247,717,328,78,134,134,2,100,condition_original,247,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),mononuclear_phagocyte,control,donor_id,23,1031,1031,247,717,328,78,134,134,2,100,condition_original,247,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),monocyte,case,donor_id,37,1969,1969,153,567,218,98,80,80,2,100,condition_original,153,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),monocyte,control,donor_id,25,459,459,153,567,218,98,80,80,2,100,condition_original,153,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),B_cell,case,donor_id,35,1860,1860,130,265,53,57,28,28,2,100,condition_original,130,TRUE
cz_human_kidney_v1.5,Chronic kidney disease vs healthy kidney (Lake et al. [38]),B_cell,control,donor_id,19,392,392,130,265,53,57,28,28,2,100,condition_original,130,TRUE
