"dataset","cluster","tf","n_pred","rho_100_vs_1000","rho_100_vs_100","top5_jac_100_1000","top5_jac_100_100","top10_jac_100_1000","top1_same_100_1000"
"severity","cDC2","NFIA",79,0.922736124634859,0.815579357351509,1,1,0.666666666666667,TRUE
"severity","cDC2","SP100",79,0.943987341772152,0.839240506329114,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","MAF",79,0.892234664070107,0.742648490749757,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","GATA2",79,0.884323271665044,0.662487828627069,0.666666666666667,0.666666666666667,1,FALSE
"severity","cDC2","ZFP28",79,0.914800389483934,0.82555988315482,1,1,0.818181818181818,FALSE
"severity","cDC2","CEBPD",79,0.858300876338851,0.778602726387537,0.666666666666667,0.428571428571429,1,TRUE
"severity","cDC2","RORC",79,0.957911392405063,0.864922103213243,1,0.666666666666667,1,FALSE
"severity","cDC2","ETS2",79,0.930501460564752,0.828456669912366,1,0.666666666666667,0.666666666666667,FALSE
"severity","cDC2","BCL11B",79,0.924099318403116,0.809055501460565,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","THRB",79,0.930671859785784,0.883033106134372,1,1,0.818181818181818,FALSE
"severity","cDC2","ID2",79,0.860929892891918,0.71110029211295,1,1,0.666666666666667,TRUE
"severity","cDC2","RORA",79,0.90715676728335,0.814970788704966,1,0.666666666666667,0.818181818181818,TRUE
"severity","cDC2","ETV7",79,0.925876338851022,0.819547224926972,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","IRF9",79,0.918451801363194,0.7932570593963,0.666666666666667,0.666666666666667,1,TRUE
"severity","cDC2","XBP1",79,0.943476144109056,0.83792599805258,1,0.666666666666667,1,TRUE
"severity","cDC2","SPI1",79,0.929941577409932,0.86896299902629,1,1,0.818181818181818,TRUE
"severity","cDC2","MYB",79,0.938729308666018,0.842185978578384,1,1,1,FALSE
"severity","cDC2","KLF9",79,0.88244888023369,0.755452775073028,1,0.666666666666667,1,FALSE
"severity","cDC2","NKX6-1",79,0.888193768257059,0.802190847127556,0.666666666666667,0.666666666666667,0.818181818181818,TRUE
"severity","cDC2","KLF13",79,0.889946445959104,0.702896786757546,1,1,1,TRUE
"severity","cDC2","REL",79,0.920447906523856,0.778067185978578,1,1,0.818181818181818,TRUE
"severity","cDC2","TCF7L2",79,0.88398247322298,0.797370983446933,0.666666666666667,0.666666666666667,0.818181818181818,FALSE
