"cluster","tf","ntree","oob_r2","imp_stability_spearman","imp_top5_jaccard"
"CD14_plus_monocytes","TFCP2",100,0.706631351407434,0.82672975972269,0.933333333333333
"CD14_plus_monocytes","TFCP2",500,0.718820457886168,0.95404216103352,1
"CD14_plus_monocytes","TFCP2",1000,0.721873395728506,0.975314926846741,1
"CD14_plus_monocytes","NR4A1",100,0.736013920063178,0.850738787266674,0.874074074074074
"CD14_plus_monocytes","NR4A1",500,0.74777945803555,0.95682784528032,0.933333333333333
"CD14_plus_monocytes","NR4A1",1000,0.74807921879959,0.976478963124682,1
"CD14_plus_monocytes","RREB1",100,0.762919117311059,0.856528703033024,0.814814814814815
"CD14_plus_monocytes","RREB1",500,0.770168001479748,0.960413811552853,0.814814814814815
"CD14_plus_monocytes","RREB1",1000,0.772860900697254,0.976120196465837,0.844444444444444
"CD14_plus_monocytes","BDP1",100,0.722658870154622,0.845154156308909,0.844444444444444
"CD14_plus_monocytes","BDP1",500,0.734021679158226,0.954453977549029,0.933333333333333
"CD14_plus_monocytes","BDP1",1000,0.734338353011524,0.97502258586312,1
"CD14_plus_monocytes","CUX1",100,0.699591662144191,0.850003797372218,0.693121693121693
"CD14_plus_monocytes","CUX1",500,0.705256639516937,0.958273340520002,1
"CD14_plus_monocytes","CUX1",1000,0.706890314047817,0.97649698647342,1
"CD14_plus_monocytes","BCL6",100,0.753080162204473,0.846421231731522,0.822222222222222
"CD14_plus_monocytes","BCL6",500,0.768221412782838,0.957666101028238,1
"CD14_plus_monocytes","BCL6",1000,0.771051969307453,0.97799983903676,1
"CD14_plus_monocytes","XBP1",100,0.720513428596638,0.860915064685685,0.77989417989418
"CD14_plus_monocytes","XBP1",500,0.732550220562338,0.955763787578399,0.881481481481481
"CD14_plus_monocytes","XBP1",1000,0.734143856764754,0.97498075809152,0.933333333333333
"CD14_plus_monocytes","REST",100,0.76383119775809,0.845606780406466,0.933333333333333
"CD14_plus_monocytes","REST",500,0.774327067417762,0.957553653468814,1
"CD14_plus_monocytes","REST",1000,0.775407117557511,0.976467627685224,1
"CD14_plus_monocytes","MAFG",100,0.746119287267378,0.812184690582177,0.881481481481482
"CD14_plus_monocytes","MAFG",500,0.758185599786612,0.948184459339212,1
"CD14_plus_monocytes","MAFG",1000,0.760477500188713,0.973253917244491,1
"CD14_plus_monocytes","IRF2",100,0.69494795029359,0.84859378205804,0.584656084656085
"CD14_plus_monocytes","IRF2",500,0.703120088132381,0.961652888440005,0.816931216931217
"CD14_plus_monocytes","IRF2",1000,0.705184493031106,0.97814141867559,0.933333333333333
"CD14_plus_monocytes","POU2F2",100,0.749131834125313,0.859355874988239,1
"CD14_plus_monocytes","POU2F2",500,0.763703349454125,0.963466898816467,1
"CD14_plus_monocytes","POU2F2",1000,0.765025995922258,0.980871445914651,1
"CD14_plus_monocytes","ZBTB7A",100,0.804018735671298,0.777642886048228,0.785185185185185
"CD14_plus_monocytes","ZBTB7A",500,0.812316854906913,0.938023371409074,1
"CD14_plus_monocytes","ZBTB7A",1000,0.813640105298432,0.966970003026562,1
"CD14_plus_monocytes","BACH1",100,0.6973734923971,0.831548001618701,0.740740740740741
"CD14_plus_monocytes","BACH1",500,0.707724840400521,0.959476257355283,0.822222222222222
"CD14_plus_monocytes","BACH1",1000,0.707229120801305,0.977730622349632,0.814814814814815
"CD14_plus_monocytes","BPTF",100,0.659960878422412,0.839693308350025,0.686772486772487
"CD14_plus_monocytes","BPTF",500,0.660831675787736,0.948861298429248,0.785185185185185
"CD14_plus_monocytes","BPTF",1000,0.659332068182489,0.973513725516868,0.814814814814815
"CD14_plus_monocytes","ELF3",100,0.583614048747521,0.803460709666523,0.933333333333333
"CD14_plus_monocytes","ELF3",500,0.596778484657549,0.952262383684222,1
"CD14_plus_monocytes","ELF3",1000,0.599284309665278,0.976698757295772,1
"CD14_plus_monocytes","RUNX3",100,0.736399879690448,0.855112566581537,0.816931216931217
"CD14_plus_monocytes","RUNX3",500,0.751952161248749,0.965095234694606,1
"CD14_plus_monocytes","RUNX3",1000,0.753642901459225,0.979583173220251,0.933333333333333
"CD14_plus_monocytes","CEBPZ",100,0.842262312478985,0.765695332859512,0.933333333333333
"CD14_plus_monocytes","CEBPZ",500,0.846496169802456,0.934255244624451,1
"CD14_plus_monocytes","CEBPZ",1000,0.846298939868544,0.963007473455235,1
"CD14_plus_monocytes","CENPB",100,0.716985716565159,0.791615515496112,0.8
"CD14_plus_monocytes","CENPB",500,0.71892294919907,0.935383800976888,0.814814814814815
"CD14_plus_monocytes","CENPB",1000,0.721550897259001,0.96659820061234,0.814814814814815
"CD14_plus_monocytes","BRCA1",100,0.752481077257669,0.820077557076771,0.732275132275132
"CD14_plus_monocytes","BRCA1",500,0.758691089623296,0.943911678789919,0.8
"CD14_plus_monocytes","BRCA1",1000,0.760242114732902,0.967560692776718,0.8
"CD14_plus_monocytes","NFAT5",100,0.664310942586723,0.858105349307235,0.816931216931217
"CD14_plus_monocytes","NFAT5",500,0.681364811579787,0.958526120819915,1
"CD14_plus_monocytes","NFAT5",1000,0.680129680545248,0.976995519100782,1
"CD14_plus_monocytes","FOXP1",100,0.662823066845752,0.813701372381655,0.737566137566138
"CD14_plus_monocytes","FOXP1",500,0.677298302421593,0.944705726323951,0.784126984126984
"CD14_plus_monocytes","FOXP1",1000,0.6758781011388,0.973361603919341,0.785185185185185
"CD14_plus_monocytes","PAX8",100,0.768800984195321,0.85619521440417,0.816931216931217
"CD14_plus_monocytes","PAX8",500,0.778024911908819,0.959224270536132,0.874074074074074
"CD14_plus_monocytes","PAX8",1000,0.778330286074887,0.978406327895723,1
"CD14_plus_monocytes","OLIG1",100,0.737304828440745,0.885326727039217,0.535185185185185
"CD14_plus_monocytes","OLIG1",500,0.739969654173525,0.970825299340617,0.686772486772487
"CD14_plus_monocytes","OLIG1",1000,0.742018253316631,0.983639106812712,0.681481481481481
"CD14_plus_monocytes","SP100",100,0.711497581944,0.858439064644878,0.652910052910053
"CD14_plus_monocytes","SP100",500,0.710687532549494,0.957721304618398,0.792592592592593
"CD14_plus_monocytes","SP100",1000,0.710880870861907,0.979673970090309,0.881481481481481
"CD14_plus_monocytes","ZFY",100,0.708282716004745,0.831231629503428,1
"CD14_plus_monocytes","ZFY",500,0.71870167404072,0.959095159880706,1
"CD14_plus_monocytes","ZFY",1000,0.71933707392792,0.978745710953095,1
"CD14_plus_monocytes","KLF5",100,0.763352814935992,0.83556528136261,0.881481481481481
"CD14_plus_monocytes","KLF5",500,0.77266856955705,0.956380208776124,1
"CD14_plus_monocytes","KLF5",1000,0.774307013378236,0.978320745327815,1
"CD14_plus_monocytes","EP300",100,0.684090879783844,0.864953088283803,0.642328042328042
"CD14_plus_monocytes","EP300",500,0.695150115506509,0.96040258946779,0.933333333333333
"CD14_plus_monocytes","EP300",1000,0.699563971437143,0.979691086603891,1
"CD14_plus_monocytes","FOXN3",100,0.836720925687337,0.789137701784992,0.822222222222222
"CD14_plus_monocytes","FOXN3",500,0.843075431749025,0.938323080428344,1
"CD14_plus_monocytes","FOXN3",1000,0.843421821984909,0.967582116757293,1
"CD14_plus_monocytes","KLF7",100,0.74452850650955,0.848505138921478,0.594973544973545
"CD14_plus_monocytes","KLF7",500,0.74582848101522,0.958496648677324,0.874074074074074
"CD14_plus_monocytes","KLF7",1000,0.747158827512659,0.978589621951759,0.933333333333333
"CD14_plus_monocytes","HLX",100,0.718206904450639,0.886095269834469,0.762962962962963
"CD14_plus_monocytes","HLX",500,0.726915933688945,0.970152654363181,0.822222222222222
"CD14_plus_monocytes","HLX",1000,0.728061513985616,0.983252341618406,0.814814814814815
"CD14_plus_monocytes","ETS2",100,0.691291541141634,0.868032360412565,0.933333333333333
"CD14_plus_monocytes","ETS2",500,0.708641201331949,0.965712336018699,1
"CD14_plus_monocytes","ETS2",1000,0.710366497435698,0.982127866024174,1
"CD14_plus_monocytes","MAF",100,0.775782477963082,0.874132413802485,0.933333333333333
"CD14_plus_monocytes","MAF",500,0.788800655494232,0.964125034431397,1
"CD14_plus_monocytes","MAF",1000,0.788189426950861,0.981257644336984,1
"CD14_plus_monocytes","KLF10",100,0.733199547551391,0.863067324575573,0.933333333333333
"CD14_plus_monocytes","KLF10",500,0.740467732981293,0.965660533060376,1
"CD14_plus_monocytes","KLF10",1000,0.74029500043698,0.981666853701418,1
"CD14_plus_monocytes","ATF5",100,0.817122799842648,0.825147105665566,0.634920634920635
"CD14_plus_monocytes","ATF5",500,0.825359993328647,0.95228981544771,0.881481481481481
"CD14_plus_monocytes","ATF5",1000,0.826015163517802,0.974042183704399,0.933333333333333
"CD14_plus_monocytes","CHD2",100,0.671379916443631,0.840808262175112,0.82962962962963
"CD14_plus_monocytes","CHD2",500,0.679650516435957,0.951713181642482,0.844444444444444
"CD14_plus_monocytes","CHD2",1000,0.683428019130706,0.974772412714282,0.844444444444444
"CD14_plus_monocytes","ZFHX3",100,0.726928429603196,0.819745428700653,0.785185185185185
"CD14_plus_monocytes","ZFHX3",500,0.736124171509315,0.947360939662589,0.762962962962963
"CD14_plus_monocytes","ZFHX3",1000,0.735736272562245,0.971772148598543,0.77037037037037
"CD14_plus_monocytes","JUN",100,0.81816873355244,0.84702484388266,1
"CD14_plus_monocytes","JUN",500,0.82739497350551,0.956159281061088,1
"CD14_plus_monocytes","JUN",1000,0.829677822042461,0.975110435518919,1
"CD14_plus_monocytes","FOSB",100,0.733704129316477,0.823828907410997,0.632804232804233
"CD14_plus_monocytes","FOSB",500,0.738308569089206,0.95694369347158,0.77037037037037
"CD14_plus_monocytes","FOSB",1000,0.738153170700066,0.977242291617783,0.844444444444444
"CD14_plus_monocytes","AHR",100,0.751909964864405,0.825591001474741,0.881481481481481
"CD14_plus_monocytes","AHR",500,0.753503651193262,0.948984514656156,0.881481481481481
"CD14_plus_monocytes","AHR",1000,0.754667718472013,0.96860423333322,0.822222222222222
"CD14_plus_monocytes","NF1",100,0.677897021502075,0.860412224591329,0.747089947089947
"CD14_plus_monocytes","NF1",500,0.689088981553409,0.959565013846239,0.740740740740741
"CD14_plus_monocytes","NF1",1000,0.693383644016499,0.977616361119896,0.816931216931217
"CD14_plus_monocytes","JUND",100,0.780475956825553,0.87182009750745,0.881481481481481
"CD14_plus_monocytes","JUND",500,0.7881473780891,0.967701252225997,0.822222222222222
"CD14_plus_monocytes","JUND",1000,0.786637188037941,0.98387590414299,0.822222222222222
"CD14_plus_monocytes","KLF2",100,0.746376366139327,0.856852216475154,0.785185185185185
"CD14_plus_monocytes","KLF2",500,0.756217850395355,0.960984210866379,0.844444444444444
