"dataset","method","threshold","auroc","n_true"
"cz_influenza","ImpOnly",3,0.398,3
"cz_hpap_t1d_islets","Decipher",0,0.492,157
"cz_hpap_t1d_islets","SumOverTFs",0,0.492,157
"cz_hpap_t1d_islets","NoSpearmanSign",0,0.48,157
"cz_hpap_t1d_islets","UnsignedMagnitude",0,0.479,157
"cz_hpap_t1d_islets","ImpOnly",0,0.479,157
"cz_hpap_t1d_islets","Decipher",1,0.44,35
"cz_hpap_t1d_islets","SumOverTFs",1,0.44,35
"cz_hpap_t1d_islets","NoSpearmanSign",1,0.439,35
"cz_hpap_t1d_islets","UnsignedMagnitude",1,0.464,35
"cz_hpap_t1d_islets","ImpOnly",1,0.464,35
"cz_hnscc_hpv","Decipher",0,0.551,334
"cz_hnscc_hpv","SumOverTFs",0,0.551,334
"cz_hnscc_hpv","NoSpearmanSign",0,0.53,334
"cz_hnscc_hpv","UnsignedMagnitude",0,0.496,334
"cz_hnscc_hpv","ImpOnly",0,0.496,334
"cz_hnscc_hpv","Decipher",1,0.549,50
"cz_hnscc_hpv","SumOverTFs",1,0.548,50
"cz_hnscc_hpv","NoSpearmanSign",1,0.543,50
"cz_hnscc_hpv","UnsignedMagnitude",1,0.602,50
"cz_hnscc_hpv","ImpOnly",1,0.585,50
"cz_hnscc_hpv","Decipher",2,0.542,14
"cz_hnscc_hpv","SumOverTFs",2,0.541,14
"cz_hnscc_hpv","NoSpearmanSign",2,0.495,14
"cz_hnscc_hpv","UnsignedMagnitude",2,0.487,14
"cz_hnscc_hpv","ImpOnly",2,0.479,14
"cz_hnscc_hpv","Decipher",3,0.969,1
"cz_hnscc_hpv","SumOverTFs",3,0.969,1
"cz_hnscc_hpv","NoSpearmanSign",3,0.956,1
"cz_hnscc_hpv","UnsignedMagnitude",3,0.933,1
"cz_hnscc_hpv","ImpOnly",3,0.877,1
"cz_hnscc_hpv","Decipher",4,0.969,1
"cz_hnscc_hpv","SumOverTFs",4,0.969,1
"cz_hnscc_hpv","NoSpearmanSign",4,0.956,1
"cz_hnscc_hpv","UnsignedMagnitude",4,0.933,1
"cz_hnscc_hpv","ImpOnly",4,0.877,1
"cz_human_kidney_v1.5","Decipher",0,0.551,246
"cz_human_kidney_v1.5","SumOverTFs",0,0.551,246
"cz_human_kidney_v1.5","NoSpearmanSign",0,0.471,246
"cz_human_kidney_v1.5","UnsignedMagnitude",0,0.487,246
"cz_human_kidney_v1.5","ImpOnly",0,0.484,246
"cz_human_kidney_v1.5","Decipher",1,0.629,27
"cz_human_kidney_v1.5","SumOverTFs",1,0.629,27
"cz_human_kidney_v1.5","NoSpearmanSign",1,0.465,27
"cz_human_kidney_v1.5","UnsignedMagnitude",1,0.45,27
"cz_human_kidney_v1.5","ImpOnly",1,0.447,27
"cz_cf_bronchial_biopsy","Decipher",0,0.575,253
"cz_cf_bronchial_biopsy","SumOverTFs",0,0.576,253
"cz_cf_bronchial_biopsy","NoSpearmanSign",0,0.532,253
"cz_cf_bronchial_biopsy","UnsignedMagnitude",0,0.48,253
"cz_cf_bronchial_biopsy","ImpOnly",0,0.48,253
"cz_cf_bronchial_biopsy","Decipher",1,0.617,78
"cz_cf_bronchial_biopsy","SumOverTFs",1,0.619,78
"cz_cf_bronchial_biopsy","NoSpearmanSign",1,0.544,78
"cz_cf_bronchial_biopsy","UnsignedMagnitude",1,0.535,78
"cz_cf_bronchial_biopsy","ImpOnly",1,0.532,78
"cz_cf_bronchial_biopsy","Decipher",2,0.591,21
"cz_cf_bronchial_biopsy","SumOverTFs",2,0.594,21
"cz_cf_bronchial_biopsy","NoSpearmanSign",2,0.536,21
"cz_cf_bronchial_biopsy","UnsignedMagnitude",2,0.485,21
"cz_cf_bronchial_biopsy","ImpOnly",2,0.483,21
"cz_cf_bronchial_biopsy","Decipher",3,0.469,2
"cz_cf_bronchial_biopsy","SumOverTFs",3,0.469,2
"cz_cf_bronchial_biopsy","NoSpearmanSign",3,0.569,2
"cz_cf_bronchial_biopsy","UnsignedMagnitude",3,0.358,2
"cz_cf_bronchial_biopsy","ImpOnly",3,0.358,2
"cz_cf_bronchial_biopsy","Decipher",4,0.469,2
"cz_cf_bronchial_biopsy","SumOverTFs",4,0.469,2
"cz_cf_bronchial_biopsy","NoSpearmanSign",4,0.569,2
"cz_cf_bronchial_biopsy","UnsignedMagnitude",4,0.358,2
"cz_cf_bronchial_biopsy","ImpOnly",4,0.358,2
"cz_cf_bronchial_biopsy","Decipher",5,0.469,2
"cz_cf_bronchial_biopsy","SumOverTFs",5,0.469,2
"cz_cf_bronchial_biopsy","NoSpearmanSign",5,0.569,2
"cz_cf_bronchial_biopsy","UnsignedMagnitude",5,0.358,2
"cz_cf_bronchial_biopsy","ImpOnly",5,0.358,2
"SevCOVID_Azimuthl2","Decipher",0,0.542,254
"SevCOVID_Azimuthl2","SumOverTFs",0,0.542,254
"SevCOVID_Azimuthl2","NoSpearmanSign",0,0.492,254
"SevCOVID_Azimuthl2","UnsignedMagnitude",0,0.495,254
"SevCOVID_Azimuthl2","ImpOnly",0,0.494,254
"SevCOVID_Azimuthl2","Decipher",1,0.516,57
"SevCOVID_Azimuthl2","SumOverTFs",1,0.516,57
"SevCOVID_Azimuthl2","NoSpearmanSign",1,0.521,57
"SevCOVID_Azimuthl2","UnsignedMagnitude",1,0.478,57
"SevCOVID_Azimuthl2","ImpOnly",1,0.476,57
"SevCOVID_Azimuthl2","Decipher",2,0.515,16
"SevCOVID_Azimuthl2","SumOverTFs",2,0.515,16
"SevCOVID_Azimuthl2","NoSpearmanSign",2,0.502,16
"SevCOVID_Azimuthl2","UnsignedMagnitude",2,0.427,16
"SevCOVID_Azimuthl2","ImpOnly",2,0.427,16
"SevCOVID_Azimuthl2","Decipher",3,0.515,7
"SevCOVID_Azimuthl2","SumOverTFs",3,0.515,7
"SevCOVID_Azimuthl2","NoSpearmanSign",3,0.502,7
"SevCOVID_Azimuthl2","UnsignedMagnitude",3,0.429,7
"SevCOVID_Azimuthl2","ImpOnly",3,0.429,7
"SevCOVID_Azimuthl2","Decipher",4,0.515,2
"SevCOVID_Azimuthl2","SumOverTFs",4,0.515,2
"SevCOVID_Azimuthl2","NoSpearmanSign",4,0.502,2
"SevCOVID_Azimuthl2","UnsignedMagnitude",4,0.429,2
"SevCOVID_Azimuthl2","ImpOnly",4,0.429,2
"SevCOVID_Azimuthl2","Decipher",5,0.515,2
"SevCOVID_Azimuthl2","SumOverTFs",5,0.515,2
"SevCOVID_Azimuthl2","NoSpearmanSign",5,0.502,2
"SevCOVID_Azimuthl2","UnsignedMagnitude",5,0.429,2
"SevCOVID_Azimuthl2","ImpOnly",5,0.429,2
"MilCOVID_Azimuthl2","Decipher",0,0.508,263
"MilCOVID_Azimuthl2","SumOverTFs",0,0.508,263
"MilCOVID_Azimuthl2","NoSpearmanSign",0,0.507,263
"MilCOVID_Azimuthl2","UnsignedMagnitude",0,0.486,263
"MilCOVID_Azimuthl2","ImpOnly",0,0.484,263
