"dataset","cluster","tf","method","cv_r2"
"erp","Fibroblast","HES7","svm_rbf",0.863394506853228
"erp","Fibroblast","MAF","svm_rbf",0.886941037155002
"erp","Fibroblast","RORC","svm_rbf",0.913883717055451
"erp","Fibroblast","HSF4","svm_rbf",0.828448704940946
"erp","Fibroblast","SIX2","svm_rbf",0.849927799900414
"erp","Fibroblast","DMRTA1","svm_rbf",0.870613327690501
"erp","Fibroblast","PAX2","svm_rbf",0.813055155161328
"erp","Fibroblast","FOXP3","svm_rbf",0.900104786127722
"erp","Fibroblast","IRF6","svm_rbf",0.8535557952458
"erp","Fibroblast","ZBTB18","svm_rbf",0.85959225693855
"erp","Fibroblast","WT1","svm_rbf",0.857130629338858
"erp","Fibroblast","E2F1","svm_rbf",0.891572229624967
"erp","Fibroblast","RUNX2","svm_rbf",0.887655018515651
"erp","Fibroblast","ELF3","svm_rbf",0.865978932861403
"erp","Fibroblast","AC012531.1","svm_rbf",0.892609886671908
"erp","Fibroblast","ENO1","svm_rbf",0.743534233940683
"erp","Fibroblast","ZBTB1","svm_rbf",0.884401117111753
"erp","Fibroblast","ZBTB42","svm_rbf",0.840301491412248
"erp","Fibroblast","OSR1","svm_rbf",0.827327577044893
"erp","Fibroblast","MYBL1","svm_rbf",0.864224050425275
"erp","Fibroblast","PAX9","svm_rbf",0.899753546854653
"erp","Fibroblast","JUNB","svm_rbf",0.922585026300612
"erp","Fibroblast","ESR1","svm_rbf",0.793503381853808
"erp","Fibroblast","PRDM11","svm_rbf",0.807529805639123
"erp","Fibroblast","ONECUT2","svm_rbf",0.889008792082482
"erp","Fibroblast","MEF2C","svm_rbf",0.920978178708414
"erp","Fibroblast","MEF2B","svm_rbf",0.886789481129256
"erp","Fibroblast","SIM2","svm_rbf",0.742006800119021
"erp","Fibroblast","LYL1","svm_rbf",0.920658060052931
"erp","Fibroblast","RUNX1","svm_rbf",0.816191373994549
"erp","Fibroblast","PGR","svm_rbf",0.790600423928003
"erp","Fibroblast","MYC","svm_rbf",0.85213455993089
"erp","T_cell","FOXA1","ranger_et",0.709397976776514
"erp","T_cell","TFAP2A","ranger_et",0.676722245998395
"erp","T_cell","RORC","ranger_et",0.645026624557045
"erp","T_cell","MEF2C","ranger_et",0.638645380728642
"erp","T_cell","MSX2","ranger_et",0.575542654897942
"erp","T_cell","CREB3L1","ranger_et",0.571414885492992
