"dataset","cluster","tf","deltaPagoda","cor_score_expr","anchor_sign","anchored_delta","flipped","weak_anchor"
"covid","CD14_plus_monocytes","FOXP1",1.8149016102884,-0.0276347498504674,-1,-1.8149016102884,TRUE,TRUE
"covid","CD14_plus_monocytes","PAX8",1.82293493463612,-0.0293574260891626,-1,-1.82293493463612,TRUE,TRUE
"covid","CD14_plus_monocytes","OLIG1",1.87735540215207,-0.278995174173653,-1,-1.87735540215207,TRUE,FALSE
"covid","CD14_plus_monocytes","SP100",1.87747297902707,0.167369965907732,1,1.87747297902707,FALSE,TRUE
"covid","CD14_plus_monocytes","ZFY",1.94336647361351,-0.26108167624584,-1,-1.94336647361351,TRUE,FALSE
"covid","CD14_plus_monocytes","KLF5",1.97468292909191,-0.180836848007937,-1,-1.97468292909191,TRUE,TRUE
"covid","CD14_plus_monocytes","EP300",2.0933549063147,0.385311770785738,1,2.0933549063147,FALSE,FALSE
"covid","CD14_plus_monocytes","FOXN3",2.10777953402905,0.236806301729074,1,2.10777953402905,FALSE,FALSE
"covid","CD14_plus_monocytes","KLF7",2.11056372228645,-0.0193672817311411,-1,-2.11056372228645,TRUE,TRUE
"covid","CD14_plus_monocytes","HLX",2.16343495695637,-0.184616237862107,-1,-2.16343495695637,TRUE,TRUE
"covid","CD14_plus_monocytes","ETS2",2.24571648629246,0.278887269499017,1,2.24571648629246,FALSE,FALSE
"covid","CD14_plus_monocytes","MAF",2.25227163438556,0.115194618149159,1,2.25227163438556,FALSE,TRUE
"covid","CD14_plus_monocytes","KLF10",2.28513978792867,0.269874859987134,1,2.28513978792867,FALSE,FALSE
"covid","CD14_plus_monocytes","ATF5",2.36781124570087,0.35907860343431,1,2.36781124570087,FALSE,FALSE
"covid","CD14_plus_monocytes","CHD2",2.38353753325437,0.350969409056486,1,2.38353753325437,FALSE,FALSE
"covid","CD14_plus_monocytes","ZFHX3",2.44330466873987,0.189082902888151,1,2.44330466873987,FALSE,TRUE
"covid","CD14_plus_monocytes","JUN",2.45014091821261,-0.325286966893582,-1,-2.45014091821261,TRUE,FALSE
"covid","CD14_plus_monocytes","FOSB",2.48486014633662,0.361576945725155,1,2.48486014633662,FALSE,FALSE
"covid","CD14_plus_monocytes","AHR",2.48944954751071,0.287606357696085,1,2.48944954751071,FALSE,FALSE
"covid","CD14_plus_monocytes","NF1",2.5551874269184,0.259219931830039,1,2.5551874269184,FALSE,FALSE
"covid","CD14_plus_monocytes","JUND",2.55550145382275,0.218554415273468,1,2.55550145382275,FALSE,FALSE
"covid","CD14_plus_monocytes","KLF2",2.57541358344409,-0.0908029448751791,-1,-2.57541358344409,TRUE,TRUE
"covid","CD14_plus_monocytes","NFE2L2",2.60474913901315,0.349324790295067,1,2.60474913901315,FALSE,FALSE
"covid","CD14_plus_monocytes","KLF4",2.72863806539362,-0.0153975825348043,-1,-2.72863806539362,TRUE,TRUE
"covid","CD14_plus_monocytes","IRF8",2.74070081033446,0.140372287920869,1,2.74070081033446,FALSE,TRUE
"covid","CD14_plus_monocytes","CREB1",2.74146610019968,-0.0666019785299477,-1,-2.74146610019968,TRUE,TRUE
"covid","CD14_plus_monocytes","FOSL2",2.75611763205754,0.170234705167311,1,2.75611763205754,FALSE,TRUE
"covid","CD14_plus_monocytes","SP4",2.77608724517314,-0.0943508736757756,-1,-2.77608724517314,TRUE,TRUE
"covid","CD14_plus_monocytes","ENO1",2.79680015765557,0.185566685706697,1,2.79680015765557,FALSE,TRUE
"covid","CD14_plus_monocytes","IRF9",2.86955650974847,0.327895205993579,1,2.86955650974847,FALSE,FALSE
"covid","CD14_plus_monocytes","MAFB",2.87573335660282,0.399847325408693,1,2.87573335660282,FALSE,FALSE
"covid","CD14_plus_monocytes","REL",2.88370083974916,0.532291626343738,1,2.88370083974916,FALSE,FALSE
"covid","CD14_plus_monocytes","CREB5",2.94694484125562,-0.207319537356864,-1,-2.94694484125562,TRUE,FALSE
"covid","CD14_plus_monocytes","KLF3",2.9826436669948,0.438494869311634,1,2.9826436669948,FALSE,FALSE
"covid","CD14_plus_monocytes","ID3",3.08538870302723,0.163803975711333,1,3.08538870302723,FALSE,TRUE
"covid","CD14_plus_monocytes","ELF1",3.08804397521217,0.111181084472297,1,3.08804397521217,FALSE,TRUE
"covid","CD14_plus_monocytes","KLF6",3.08855613550523,0.0637219562162258,1,3.08855613550523,FALSE,TRUE
"covid","CD14_plus_monocytes","HIVEP3",3.09464429891419,0.409649036216082,1,3.09464429891419,FALSE,FALSE
"covid","CD14_plus_monocytes","NR4A3",3.09652834717503,0.478524760788203,1,3.09652834717503,FALSE,FALSE
"covid","CD14_plus_monocytes","KLF9",3.11019359132068,0.408357151224106,1,3.11019359132068,FALSE,FALSE
"covid","CD14_plus_monocytes","SPIB",3.17803305048416,0.317712709773201,1,3.17803305048416,FALSE,FALSE
"covid","CD14_plus_monocytes","STAT2",3.23045911735644,0.298290104044318,1,3.23045911735644,FALSE,FALSE
"covid","CD14_plus_monocytes","BCL11A",3.39260570167257,0.035803219354912,1,3.39260570167257,FALSE,TRUE
"covid","CD14_plus_monocytes","BHLHE40",3.39870765733259,0.567786733385961,1,3.39870765733259,FALSE,FALSE
"covid","CD14_plus_monocytes","IRF1",3.42312841493989,0.150939823624585,1,3.42312841493989,FALSE,TRUE
"covid","CD14_plus_monocytes","HES1",3.48759444890286,-0.0827498089924693,-1,-3.48759444890286,TRUE,TRUE
"covid","CD14_plus_monocytes","ID1",3.50531929381001,0.382330181225037,1,3.50531929381001,FALSE,FALSE
"covid","CD14_plus_monocytes","JDP2",3.50919403598996,0.469707212090201,1,3.50919403598996,FALSE,FALSE
"covid","CD14_plus_monocytes","EGR2",3.57791234150497,0.59121836291292,1,3.57791234150497,FALSE,FALSE
"covid","CD14_plus_monocytes","ZNF331",3.59942772567685,0.276924618204193,1,3.59942772567685,FALSE,FALSE
"covid","CD14_plus_monocytes","ZNF281",3.71895617527191,0.189191842628933,1,3.71895617527191,FALSE,TRUE
"covid","CD14_plus_monocytes","EGR3",3.74466118994128,0.521826256826251,1,3.74466118994128,FALSE,FALSE
"covid","CD14_plus_monocytes","HIF1A",3.75534069396704,0.590768918665547,1,3.75534069396704,FALSE,FALSE
"covid","CD14_plus_monocytes","STAT1",3.83527216094985,0.658076741860189,1,3.83527216094985,FALSE,FALSE
"covid","CD14_plus_monocytes","ATF3",4.95795220901677,0.604947771480514,1,4.95795220901677,FALSE,FALSE
"covid","CD16_plus_monocytes","HIVEP2",-2.27999865237038,0.348265655331545,1,-2.27999865237038,FALSE,FALSE
"covid","CD16_plus_monocytes","NRF1",1.12883379291907,0.0147672374910232,1,1.12883379291907,FALSE,TRUE
"covid","CD16_plus_monocytes","ELK3",1.13673706958128,-0.241403673361318,-1,-1.13673706958128,TRUE,FALSE
"covid","CD16_plus_monocytes","SPIB",1.15314141771386,0.0328383635465215,1,1.15314141771386,FALSE,TRUE
"covid","CD16_plus_monocytes","GATA3",1.15631171876027,-0.0680239421203222,-1,-1.15631171876027,TRUE,TRUE
"covid","CD16_plus_monocytes","MXI1",1.15833627892389,0.0167010041277435,1,1.15833627892389,FALSE,TRUE
"covid","CD16_plus_monocytes","MYC",1.16765200664938,-0.00723344056190716,-1,-1.16765200664938,TRUE,TRUE
"covid","CD16_plus_monocytes","YBX1",1.17634774133389,0.546208566811505,1,1.17634774133389,FALSE,FALSE
"covid","CD16_plus_monocytes","TCF4",1.23814897957954,0.223636247932416,1,1.23814897957954,FALSE,FALSE
"covid","CD16_plus_monocytes","IRF9",1.24444564253194,0.619224273946338,1,1.24444564253194,FALSE,FALSE
"covid","CD16_plus_monocytes","HES1",1.25239485932344,0.215427691199704,1,1.25239485932344,FALSE,FALSE
"covid","CD16_plus_monocytes","MAFB",1.26652325062654,0.283826565535387,1,1.26652325062654,FALSE,FALSE
"covid","CD16_plus_monocytes","HES4",1.2801185332324,0.215226940897341,1,1.2801185332324,FALSE,FALSE
"covid","CD16_plus_monocytes","STAT1",1.3247452826219,0.716518638181514,1,1.3247452826219,FALSE,FALSE
"covid","CD16_plus_monocytes","LMO2",1.39045293117366,0.407754456938866,1,1.39045293117366,FALSE,FALSE
"covid","CD16_plus_monocytes","FOXI1",1.40223517041704,0.0473947683856663,1,1.40223517041704,FALSE,TRUE
"covid","CD16_plus_monocytes","BATF",1.41826993329169,0.108467053384255,1,1.41826993329169,FALSE,TRUE
"covid","CD16_plus_monocytes","NR4A2",1.4473223694199,-0.0936436430752084,-1,-1.4473223694199,TRUE,TRUE
"covid","CD16_plus_monocytes","BATF3",1.45340087334542,0.260212146788017,1,1.45340087334542,FALSE,FALSE
"covid","CD16_plus_monocytes","CEBPB",1.45403371546074,0.301067912554578,1,1.45403371546074,FALSE,FALSE
"covid","CD16_plus_monocytes","FOSB",1.49445933562276,0.0827371656560148,1,1.49445933562276,FALSE,TRUE
"covid","CD16_plus_monocytes","SMAD3",1.56146478816949,0.0664629078902498,1,1.56146478816949,FALSE,TRUE
"covid","CD16_plus_monocytes","EGR1",1.77899613731044,0.562786710994257,1,1.77899613731044,FALSE,FALSE
"covid","CD16_plus_monocytes","CEBPA",1.90850983970249,0.111242533778632,1,1.90850983970249,FALSE,TRUE
