"ko","panel","kind","anchor_pair","n_pairs_zeroed","tf","dz","dz_severe","anchor_sign","weak_anchor","expr_dir"
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"NR4A2",0.182729224149999,0.34070953328507,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"E2F5",0.260620612544269,0.471490527350398,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"FOXL2",0.119410357074101,0.23701118008988,NA,FALSE,NA
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"EGR3",0.262570894532634,0.456961703852511,-1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"BHLHE40",0.192842571506512,0.375466487023414,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"RUNX3",0.231948417142449,0.416510034042102,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"RAD21",0.046295628643831,0.0662001977555988,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"BCL11A",0.00140747478191196,0.000119065458189249,1,FALSE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"GTF2I",0.280592854683915,0.484694231949583,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"CREB1",0.163169896386702,0.290168239780323,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ELF2",0.00582440330584799,0.0180948880959429,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"MAFB",0.0607203936112651,0.12144799711464,-1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"KLF2",0.0638975485715782,0.106352256411253,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ATF5",0.0262756409305726,0.0478956150311094,1,FALSE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"IRF8",-0.00623608491844341,-0.00210361873444454,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"BDP1",0.0179614998899938,0.0476000738352196,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"CREB5",-0.00542245203473982,-0.00971776289563715,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"CEBPD",0.0912768477861108,0.170320884067428,1,FALSE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"HIVEP1",0.0405947688169233,0.0828562052133827,-1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ETV7",0.040561536738262,0.0653548398405579,-1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"POU4F1",0.025811008999523,0.0584953523855637,-1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ID1",0.0111090146304318,0.024310181487339,1,FALSE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"HOXB2",0.0238303980692443,0.0244858711052662,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"SPI1",0.0121634493598208,0.0228451821803072,-1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"BCLAF1",0.00169970212430834,0.0133370122631572,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"STAT1",0.00185352867871782,0.00537581863659399,1,FALSE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"TCF7L2",0.0199435605917081,0.0397292057694886,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"BRCA1",0.0603464463436471,0.120685853847177,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"CEBPB",-0.00218866694508855,0.00343478212784406,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"RORA",0.0357230314075445,0.0726860912071142,-1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ZBTB14",0.0421143542869541,0.063756809784476,-1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"EGR2",0.0680082508953752,0.0834457195721652,-1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"IRF9",-0.0164832312323865,-0.0291704261109194,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"FOXC1",0.0100424558785038,0.00267012972550421,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"FOXP1",0.00824765936417218,0.0218248965500682,-1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ESR1",-0.00774671082734397,-0.0194322521428593,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"AHR",-0.015037376868836,-0.0307606967817883,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"KLF10",0.0103004864387705,0.0108927025236787,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ZBTB7C",0.0164608366222001,0.025109215529886,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"FOXP3",0.051591126303782,0.0449647320810265,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"NFATC2",0.0171199026849864,0.00404818815973238,1,FALSE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"STAT2",-0.00544609325818273,-0.00742077342703427,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"RARG",0.00493639974149628,0.00261590940289545,1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"XBP1",-0.0147131797858259,-0.036433626726183,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"REL",-0.0936776980755226,-0.146690287186933,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"POU2F2",-0.0793606908379443,-0.128554424283433,-1,FALSE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"IRF1",-0.047578677734059,-0.0859832989426339,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ETS2",-0.080669789356926,-0.130797987528479,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"TFEC",-0.0693363154926287,-0.157541528436198,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ITGB2",-0.0706236331488987,-0.105238379804757,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"POU2F1",-0.0731064512163127,-0.157808818122316,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"JUN",-0.0707144161481066,-0.12122649885909,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"CUX1",-0.0923756682278573,-0.133531175325569,-1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"PLAG1",-0.00424491907181289,-0.0090062846573334,-1,TRUE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"JUND",-0.0967073600918583,-0.185615108643558,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"FOSL2",-0.177914121908651,-0.332338992749623,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"NR1D1",-0.195705706094472,-0.31383600921599,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ZFY",-0.0209935214608288,-0.0597553503070107,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"FOSB",-0.192827522726067,-0.294930743877497,-1,FALSE,1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"NR4A1",-0.177641618549506,-0.345933036280624,1,TRUE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"ATF4",-0.045800216811171,-0.0885601302514838,1,FALSE,-1
"pairKO:HP-ITGB2","top","pair","HP-ITGB2",1,"NFIL3",-0.221687077567083,-0.380903872621559,1,FALSE,-1
