p_val,avg_logFC,Severe/Mod (pct cell expr),Healthy (pct cells expr),p_val_adj,comp,gene,clust,pt,seurat_clusters,final
1.53E-07,0.43291745,0.439,0.098,0.005120251,severe-mod_vs_Healthy_clust_11,HLX,11,severe-mod,11,C MONO_IFN
1.56E-07,-0.407606446,0.966,0.984,0.005228133,severe-mod_vs_Healthy_clust_11,RPL23,11,severe-mod,11,C MONO_IFN
1.64E-07,-0.466647922,0.459,0.689,0.005496706,severe-mod_vs_Healthy_clust_11,ANO6,11,severe-mod,11,C MONO_IFN
1.69E-07,-0.411956322,0.389,0.607,0.005652123,severe-mod_vs_Healthy_clust_11,CD4,11,severe-mod,11,C MONO_IFN
1.70E-07,-0.402683981,0.572,0.754,0.005700606,severe-mod_vs_Healthy_clust_11,EIF1B,11,severe-mod,11,C MONO_IFN
1.72E-07,0.300740281,0.997,0.984,0.005774663,severe-mod_vs_Healthy_clust_11,RPS29,11,severe-mod,11,C MONO_IFN
1.78E-07,-0.384999275,0.343,0.59,0.005969545,severe-mod_vs_Healthy_clust_11,HNMT,11,severe-mod,11,C MONO_IFN
1.83E-07,0.384927266,0.801,0.525,0.006143955,severe-mod_vs_Healthy_clust_11,LMAN2,11,severe-mod,11,C MONO_IFN
1.84E-07,0.37804726,0.731,0.426,0.006169778,severe-mod_vs_Healthy_clust_11,SRI,11,severe-mod,11,C MONO_IFN
1.91E-07,-0.435236008,0.226,0.459,0.006406614,severe-mod_vs_Healthy_clust_11,ARHGAP21,11,severe-mod,11,C MONO_IFN
1.99E-07,0.425579897,0.746,0.377,0.006657316,severe-mod_vs_Healthy_clust_11,EZR,11,severe-mod,11,C MONO_IFN
2.10E-07,0.304530789,0.693,0.377,0.007035199,severe-mod_vs_Healthy_clust_11,PRDX3,11,severe-mod,11,C MONO_IFN
2.12E-07,0.514074125,0.789,0.574,0.007117041,severe-mod_vs_Healthy_clust_11,GIMAP4,11,severe-mod,11,C MONO_IFN
2.14E-07,-0.479415073,0.206,0.459,0.007164439,severe-mod_vs_Healthy_clust_11,DUSP2,11,severe-mod,11,C MONO_IFN
2.20E-07,-0.465894149,0.707,0.803,0.007366007,severe-mod_vs_Healthy_clust_11,ITGB1,11,severe-mod,11,C MONO_IFN
2.26E-07,-0.365712141,0.466,0.721,0.007588169,severe-mod_vs_Healthy_clust_11,HLA-DMB,11,severe-mod,11,C MONO_IFN
2.30E-07,0.359463101,0.973,0.869,0.007698387,severe-mod_vs_Healthy_clust_11,SAMHD1,11,severe-mod,11,C MONO_IFN
2.44E-07,0.336346752,0.436,0.098,0.008189049,severe-mod_vs_Healthy_clust_11,HELZ2,11,severe-mod,11,C MONO_IFN
2.51E-07,0.376625187,0.862,0.525,0.008422369,severe-mod_vs_Healthy_clust_11,SH3GLB1,11,severe-mod,11,C MONO_IFN
2.58E-07,0.498855777,0.829,0.672,0.008663817,severe-mod_vs_Healthy_clust_11,CALR,11,severe-mod,11,C MONO_IFN
2.60E-07,0.442244857,0.71,0.41,0.00873092,severe-mod_vs_Healthy_clust_11,GNS,11,severe-mod,11,C MONO_IFN
2.66E-07,-0.402018972,0.985,1,0.008934513,severe-mod_vs_Healthy_clust_11,MYL12A,11,severe-mod,11,C MONO_IFN
2.70E-07,0.593052945,0.421,0.098,0.0090626,severe-mod_vs_Healthy_clust_11,CTSL,11,severe-mod,11,C MONO_IFN
2.91E-07,0.527491261,0.907,0.705,0.009771522,severe-mod_vs_Healthy_clust_11,TNFSF10,11,severe-mod,11,C MONO_IFN
